keyword,worksheet_url,note
入口,https://你的網域/練習/入口,D01 洞不是缺陷而是入口 — 書寫練習
看見,https://你的網域/練習/看見,D01 全天Threads — 書寫題
角色,https://你的網域/練習/角色,D02 妳不是情緒 — 情緒覺察練習
登出,https://你的網域/練習/登出,D03 反對派也要有位置 — 清醒練習
我正在演誰,https://你的網域/練習/我正在演誰,D04 關係裡的交換 — 依附覺察練習
回家,https://你的網域/練習/回家,D05 回家不是離開世界 — 內在探索練習
金錢劇本,https://你的網域/練習/金錢劇本,D06 金錢與價值 — 金錢信念覺察練習
順木而生,https://你的網域/練習/順木而生,D07 順命而醒 — 紋路練習
懂事,https://你的網域/練習/懂事,D09 懂事是求生策略 — 覺察練習
放下,https://你的網域/練習/放下,D10 放下不是假裝沒事 — 分辨故事與地雷
慢,https://你的網域/練習/慢,D12 妳可以慢但不要消失 — 速度覺察
刀痕,https://你的網域/練習/刀痕,D13 刀痕不是失敗 — 和解練習
焦慮,https://你的網域/練習/焦慮,D15 焦慮是失控感
家族劇本,https://你的網域/練習/家族劇本,D16 家人觸發舊劇本
保護,https://你的網域/練習/保護,D22 冷漠是保護太久
被照顧,https://你的網域/練習/被照顧,D23 付出太多的人
課題,https://你的網域/練習/課題,範例（阿德勒）課題分離練習
需要,https://你的網域/練習/需要,範例（NVC）把指責翻成需要
檢查,https://你的網域/練習/檢查,D18 靈性優越感 — 自我檢查清單
我不只是,https://你的網域/練習/我不只是,D19 把自己從角色帶回來
木紋,https://你的網域/練習/木紋,D20 找到適合自己的節奏
停止自責,https://你的網域/練習/停止自責,D25 別把吸引力法則用成自責工具
安靜,https://你的網域/練習/安靜,D26 妳真正想要的生活可能很安靜
裂縫,https://你的網域/練習/裂縫,D27 裂縫不是作品的終點
